"stimulus (pA)" "response 1 (mV)" "response 2 (mV)" "response 3 (mV)"
0 -65.16113 -66.95252 -66.03086
0 -65.18552 -66.98304 -66.0095
0 -65.18554 -66.98914 -65.9973
0 -65.1367 -66.97998 -66.00645
0 -65.17333 -66.94641 -66.015619
0 -65.13061 -66.97999 -66.040029
0 -65.1245 -66.99219 -66.043087
0 -65.17332 -66.95861 -66.043087
0 -65.18858 -66.97389 -66.046156
0 -65.17334 -66.93724 -66.061408
0 -65.17333 -66.93114 -66.061408
0 -65.16417 -66.97084 -66.104128
0 -65.155 -66.98303 -66.052247
0 -65.15501 -66.97389 -66.030877
0 -65.16722 -66.97694 -66.033918
0 -65.16723 -66.96474 -66.024768
0 -65.1489 -66.9922 -66.030878
0 -65.14281 -66.9586 -66.055296
0 -65.15807 -66.94641 -66.030878
0 -65.16417 -66.95863 -66.033928
0 -65.18859 -66.97082 -66.027819
0 -65.14891 -66.99525 -66.052246
0 -65.14587 -66.97999 -66.01256
0 -65.16111 -66.97084 -66.036978
0 -65.16723 -66.95555 -66.018669
0 -65.16418 -66.96168 -66.0156
0 -65.13977 -66.94947 -66.024777
0 -65.15502 -66.96472 -66.061406
0 -65.17638 -66.96776 -66.036969
0 -65.15808 -66.96167 -66.043096
0 -65.16111 -66.95555 -66.027838
0 -65.16112 -66.97693 -66.02476
0 -65.1428 -66.95557 -66.012569
0 -65.13976 -66.9586 -66.03697
0 -65.13975 -66.97388 -65.994268
0 -65.1489 -66.94946 -66.033929
0 -65.13367 -66.93419 -66.015619
0 -65.17637 -66.93723 -66.018669
0 -65.12755 -66.9342 -66.046147
0 -65.1367 -66.94336 -66.021727
0 -65.11535 -66.94335 -66.006459
0 -65.13365 -66.96473 -66.021718
0 -65.12146 -66.94031 -66.040036
0 -65.12145 -66.93114 -66.033919
0 -65.12145 -66.96166 -65.9973
0 -65.11535 -66.95252 -66.009509
0 -65.11535 -66.92809 -66.024769
0 -65.094 -66.95251 -66.061406
0 -65.07264 -66.9342 -66.02171
0 -65.08484 -66.94946 -66.070567
0 -65.06349 -66.97387 -66.073617
0 -65.08485 -66.98305 -66.079715
0 -65.07875 -66.97998 -66.094978
0 -65.0696 -66.96473 -66.049187
0 -65.10926 -66.95861 -66.067516
0 -65.12145 -66.96777 -66.024768
0 -65.09095 -66.96778 -66.049196
0 -65.1123 -67.00135 -66.036979
0 -65.094 -66.95557 -66.067516
0 -65.1123 -66.95863 -66.049196
0 -65.09095 -66.94029 -66.073616
0 -65.12146 -66.95557 -66.061396
0 -65.11535 -66.99219 -66.079699
0 -65.1245 -66.9525 -66.088874
0 -65.13976 -66.95861 -66.085825
0 -65.10925 -66.99829 -66.094977
0 -65.11535 -66.98914 -66.055297
0 -65.1245 -66.95863 -66.061399
0 -65.11231 -66.98304 -66.03699
0 -65.1306 -66.9678 -66.061398
0 -65.1184 -66.96473 -66.055298
0 -65.1245 -66.94335 -66.049187
0 -65.14586 -66.9464 -66.052228
0 -65.1062 -66.93724 -66.061389
0 -65.09399 -66.90978 -66.064474
0 -65.10315 -66.89758 -66.064455
0 -65.13671 -66.9464 -66.073616
0 -65.12756 -66.92809 -66.088879
0 -65.1123 -66.92199 -66.058329
0 -65.13365 -66.93419 -66.064466
0 -65.1245 -66.92199 -66.076659
0 -65.1245 -66.93115 -66.073634
0 -65.1367 -66.93724 -66.033918
0 -65.12755 -66.96167 -66.064457
0 -65.1428 -66.9464 -66.0675
0 -65.16722 -66.95556 -66.052248
0 -65.16415 -66.94336 -66.030877
0 -65.14281 -66.96167 -66.033918
0 -65.1306 -66.9983 -66.027827
0 -65.1306 -66.95863 -66.024769
0 -65.1428 -66.9525 -66.021719
0 -65.13975 -66.96166 -66.043087
0 -65.15197 -66.96472 -66.043089
0 -65.14587 -66.98915 -66.033909
0 -65.15805 -66.95861 -66.024768
0 -65.15196 -66.94336 -66.027828
0 -65.1489 -66.95252 -66.040038
0 -65.1428 -66.96778 -66.0095
0 -65.16112 -66.98304 -66.027819
0 -65.16111 -66.96778 -66.024769
0 -65.1306 -66.97388 -65.988159
0 -65.1611 -66.9739 -66.027818
0 -65.15807 -66.9525 -66.009519
0 -65.16722 -66.94641 -66.00035
0 -65.14585 -66.94335 -66.030868
0 -65.16723 -66.92504 -66.046146
0 -65.18248 -66.9342 -66.055305
0 -65.18859 -66.95251 -66.061407
0 -65.19164 -66.93726 -66.079718
0 -65.1947 -66.94946 -66.067515
0 -65.17637 -66.94946 -66.073616
0 -65.16722 -66.96471 -66.073625
0 -65.19467 -66.97692 -66.070557
0 -65.1825 -66.97389 -66.046147
0 -65.17637 -66.97999 -66.021719
0 -65.1367 -66.98609 -66.052239
0 -65.14586 -66.98914 -66.036978
0 -65.17028 -66.99829 -66.067515
0 -65.17637 -67.00135 -66.061399
0 -65.18859 -66.98608 -66.04918
0 -65.17942 -66.94946 -66.040028
0 -65.15503 -66.96779 -66.036986
0 -65.17638 -66.97388 -66.046129
0 -65.18249 -66.96169 -66.043078
0 -65.19165 -66.97387 -66.021718
0 -65.20996 -66.98913 -66.052246
0 -65.21606 -66.9464 -66.040037
0 -65.1947 -66.94948 -66.033919
0 -65.20996 -66.96167 -66.049195
0 -65.18859 -66.94947 -66.043095
0 -65.19165 -66.95251 -66.04003
0 -65.22217 -66.93114 -66.01561
0 -65.21608 -66.94335 -66.055305
0 -65.1825 -66.9006 -66.030859
0 -65.18858 -66.89757 -66.02781
0 -65.18859 -66.91586 -66.03697
0 -65.18859 -66.90976 -66.043088
0 -65.17944 -66.92197 -66.02476
0 -65.2008 -66.94946 -66.027829
0 -65.15501 -66.90978 -66.040027
0 -65.16722 -66.94335 -66.03699
0 -65.16112 -66.94031 -66.043095
0 -65.16113 -66.95252 -66.018677
0 -65.13975 -66.92502 -66.030877
0 -65.16417 -66.90672 -66.046138
0 -65.16416 -66.90671 -66.040018
0 -65.13976 -66.90366 -66.015619
0 -65.14281 -66.91281 -66.073607
0 -65.14585 -66.92502 -66.08887
0 -65.14282 -66.93419 -66.085828
0 -65.12755 -66.94642 -66.073627
0 -65.12451 -66.96167 -66.085827
0 -65.16113 -66.95557 -66.067515
0 -65.16112 -66.9525 -66.064467
0 -65.14586 -66.92198 -66.067516
0 -65.1184 -66.95252 -66.043078
0 -65.13365 -66.93114 -66.058339
0 -65.1367 -66.93725 -66.064448
0 -65.13976 -66.93114 -66.067508
0 -65.10925 -66.94335 -66.055305
0 -65.1367 -66.96777 -66.073618
0 -65.12755 -66.9342 -66.058357
0 -65.155 -66.9403 -66.067525
0 -65.1489 -66.9342 -66.070567
0 -65.1367 -66.92809 -66.064448
0 -65.16723 -66.91588 -66.052247
0 -65.18554 -66.89756 -66.058336
0 -65.17027 -66.92504 -66.067498
0 -65.14282 -66.90672 -66.055297
0 -65.15808 -66.92197 -66.064457
0 -65.18858 -66.93114 -66.070559
0 -65.15502 -66.91281 -66.091937
0 -65.17943 -66.9128 -66.101087
0 -65.15196 -66.95556 -66.088878
0 -65.15807 -66.94334 -66.101087
0 -65.13975 -66.91893 -66.104133
0 -65.16113 -66.95861 -66.091937
0 -65.15806 -66.9281 -66.052238
0 -65.14586 -66.91284 -66.043087
0 -65.13975 -66.90977 -66.070574
0 -65.17027 -66.92505 -66.079716
0 -65.16416 -66.9342 -66.110248
0 -65.11535 -66.9006 -66.125489
0 -65.13365 -66.92506 -66.128546
